Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
18:45:02,ghost-deployment-74496d68fd-s6xpz,579m,162Mi,49m,71Mi
18:45:02,ghost-mysql-c75f59f48-n4rmd,235m,499Mi,49m,71Mi
18:45:07,ghost-deployment-74496d68fd-fmbqt,564m,184Mi,49m,71Mi
18:45:07,ghost-deployment-74496d68fd-jcjqn,203m,167Mi,49m,71Mi
18:45:07,ghost-deployment-74496d68fd-s6xpz,579m,162Mi,49m,71Mi
18:45:07,ghost-mysql-c75f59f48-n4rmd,235m,499Mi,49m,71Mi
18:45:12,ghost-deployment-74496d68fd-fmbqt,564m,184Mi,49m,71Mi
18:45:12,ghost-deployment-74496d68fd-jcjqn,203m,167Mi,49m,71Mi
18:45:12,ghost-deployment-74496d68fd-s6xpz,579m,162Mi,49m,71Mi
18:45:12,ghost-mysql-c75f59f48-n4rmd,235m,499Mi,49m,71Mi
18:45:17,ghost-deployment-74496d68fd-fmbqt,337m,188Mi,49m,71Mi
18:45:17,ghost-deployment-74496d68fd-jcjqn,418m,175Mi,49m,71Mi
18:45:17,ghost-deployment-74496d68fd-s6xpz,515m,158Mi,49m,71Mi
18:45:17,ghost-mysql-c75f59f48-n4rmd,226m,498Mi,49m,71Mi
18:45:22,ghost-deployment-74496d68fd-fmbqt,337m,188Mi,49m,71Mi
18:45:22,ghost-deployment-74496d68fd-jcjqn,418m,175Mi,49m,71Mi
18:45:22,ghost-deployment-74496d68fd-s6xpz,515m,158Mi,49m,71Mi
18:45:22,ghost-mysql-c75f59f48-n4rmd,226m,498Mi,49m,71Mi
18:45:27,ghost-deployment-74496d68fd-fmbqt,337m,188Mi,49m,71Mi
18:45:27,ghost-deployment-74496d68fd-jcjqn,418m,175Mi,49m,71Mi
18:45:27,ghost-deployment-74496d68fd-s6xpz,515m,158Mi,49m,71Mi
18:45:27,ghost-mysql-c75f59f48-n4rmd,226m,498Mi,49m,71Mi
18:45:33,ghost-deployment-74496d68fd-fmbqt,497m,156Mi,46m,71Mi
18:45:33,ghost-deployment-74496d68fd-jcjqn,419m,189Mi,46m,71Mi
