Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
20:45:26,wordpress-deployment-7c7bb76d6f-ds6hf,371m,635Mi,21m,62Mi
20:45:26,wordpress-deployment-7c7bb76d6f-mvbl7,218m,335Mi,21m,62Mi
20:45:26,wordpress-deployment-7c7bb76d6f-wsmvd,203m,317Mi,21m,62Mi
20:45:26,wordpress-mysql-8484774888-bwt4v,139m,544Mi,21m,62Mi
20:45:31,wordpress-deployment-7c7bb76d6f-ds6hf,371m,635Mi,21m,62Mi
20:45:31,wordpress-deployment-7c7bb76d6f-mvbl7,218m,335Mi,21m,62Mi
20:45:31,wordpress-deployment-7c7bb76d6f-wsmvd,203m,317Mi,21m,62Mi
20:45:31,wordpress-mysql-8484774888-bwt4v,139m,544Mi,21m,62Mi
20:45:36,wordpress-deployment-7c7bb76d6f-ds6hf,417m,618Mi,21m,62Mi
20:45:36,wordpress-deployment-7c7bb76d6f-mvbl7,443m,575Mi,21m,62Mi
20:45:36,wordpress-deployment-7c7bb76d6f-wsmvd,449m,548Mi,21m,62Mi
20:45:36,wordpress-mysql-8484774888-bwt4v,143m,549Mi,21m,62Mi
20:45:41,wordpress-deployment-7c7bb76d6f-ds6hf,417m,618Mi,21m,62Mi
20:45:41,wordpress-deployment-7c7bb76d6f-mvbl7,443m,575Mi,21m,62Mi
20:45:41,wordpress-deployment-7c7bb76d6f-wsmvd,449m,548Mi,21m,62Mi
20:45:41,wordpress-mysql-8484774888-bwt4v,143m,549Mi,21m,62Mi
20:45:46,wordpress-deployment-7c7bb76d6f-ds6hf,417m,618Mi,21m,62Mi
20:45:46,wordpress-deployment-7c7bb76d6f-mvbl7,443m,575Mi,21m,62Mi
20:45:46,wordpress-deployment-7c7bb76d6f-wsmvd,449m,548Mi,21m,62Mi
20:45:46,wordpress-mysql-8484774888-bwt4v,143m,549Mi,21m,62Mi
20:45:52,wordpress-deployment-7c7bb76d6f-ds6hf,457m,583Mi,28m,60Mi
20:45:52,wordpress-deployment-7c7bb76d6f-mvbl7,508m,597Mi,28m,60Mi
20:45:52,wordpress-deployment-7c7bb76d6f-pzg57,8m,16Mi,28m,60Mi
20:45:52,wordpress-deployment-7c7bb76d6f-wsmvd,463m,627Mi,28m,60Mi
20:45:52,wordpress-mysql-8484774888-bwt4v,145m,550Mi,28m,60Mi
20:45:57,wordpress-deployment-7c7bb76d6f-ds6hf,457m,583Mi,28m,60Mi
20:45:57,wordpress-deployment-7c7bb76d6f-mvbl7,508m,597Mi,28m,60Mi
20:45:57,wordpress-deployment-7c7bb76d6f-pzg57,8m,16Mi,28m,60Mi
20:45:57,wordpress-deployment-7c7bb76d6f-wsmvd,463m,627Mi,28m,60Mi
20:45:57,wordpress-mysql-8484774888-bwt4v,145m,550Mi,28m,60Mi
20:46:02,wordpress-deployment-7c7bb76d6f-ds6hf,457m,583Mi,28m,60Mi
20:46:02,wordpress-deployment-7c7bb76d6f-mvbl7,508m,597Mi,28m,60Mi
20:46:02,wordpress-deployment-7c7bb76d6f-pzg57,8m,16Mi,28m,60Mi
20:46:02,wordpress-deployment-7c7bb76d6f-wsmvd,463m,627Mi,28m,60Mi
20:46:02,wordpress-mysql-8484774888-bwt4v,145m,550Mi,28m,60Mi
20:46:07,wordpress-deployment-7c7bb76d6f-ds6hf,436m,580Mi,28m,61Mi
20:46:07,wordpress-deployment-7c7bb76d6f-mvbl7,490m,492Mi,28m,61Mi
20:46:07,wordpress-deployment-7c7bb76d6f-pzg57,8m,16Mi,28m,61Mi
20:46:07,wordpress-deployment-7c7bb76d6f-wsmvd,462m,758Mi,28m,61Mi
20:46:07,wordpress-mysql-8484774888-bwt4v,145m,550Mi,28m,61Mi
20:46:12,wordpress-deployment-7c7bb76d6f-ds6hf,436m,580Mi,28m,61Mi
20:46:12,wordpress-deployment-7c7bb76d6f-mvbl7,490m,492Mi,28m,61Mi
20:46:12,wordpress-deployment-7c7bb76d6f-pzg57,8m,16Mi,28m,61Mi
20:46:12,wordpress-deployment-7c7bb76d6f-wsmvd,462m,758Mi,28m,61Mi
20:46:12,wordpress-mysql-8484774888-bwt4v,145m,550Mi,28m,61Mi
20:46:17,wordpress-deployment-7c7bb76d6f-ds6hf,436m,580Mi,28m,61Mi
20:46:17,wordpress-deployment-7c7bb76d6f-mvbl7,490m,492Mi,28m,61Mi
20:46:17,wordpress-deployment-7c7bb76d6f-pzg57,8m,16Mi,28m,61Mi
20:46:17,wordpress-deployment-7c7bb76d6f-wsmvd,462m,758Mi,28m,61Mi
20:46:17,wordpress-mysql-8484774888-bwt4v,145m,550Mi,28m,61Mi
20:46:23,wordpress-deployment-7c7bb76d6f-ds6hf,309m,608Mi,29m,61Mi
20:46:23,wordpress-deployment-7c7bb76d6f-mvbl7,323m,412Mi,29m,61Mi
20:46:23,wordpress-deployment-7c7bb76d6f-pzg57,114m,234Mi,29m,61Mi
20:46:23,wordpress-deployment-7c7bb76d6f-wsmvd,508m,668Mi,29m,61Mi
20:46:23,wordpress-mysql-8484774888-bwt4v,139m,550Mi,29m,61Mi
20:46:28,wordpress-deployment-7c7bb76d6f-ds6hf,309m,608Mi,29m,61Mi
20:46:28,wordpress-deployment-7c7bb76d6f-mvbl7,323m,412Mi,29m,61Mi
20:46:28,wordpress-deployment-7c7bb76d6f-pzg57,114m,234Mi,29m,61Mi
20:46:28,wordpress-deployment-7c7bb76d6f-wsmvd,508m,668Mi,29m,61Mi
20:46:28,wordpress-mysql-8484774888-bwt4v,139m,550Mi,29m,61Mi
20:46:33,wordpress-deployment-7c7bb76d6f-ds6hf,309m,608Mi,29m,61Mi
20:46:33,wordpress-deployment-7c7bb76d6f-mvbl7,323m,412Mi,29m,61Mi
