Timestamp,Pod_Name,CPU_m,Memory_Mi
23:18:49,drupal-deployment-677cb58b94-2rhfm,335m,162Mi
23:18:49,drupal-deployment-677cb58b94-5r2tx,378m,122Mi
23:18:49,drupal-mysql-d86854f86-dj5nv,295m,558Mi
23:18:54,drupal-deployment-677cb58b94-2rhfm,335m,162Mi
23:18:54,drupal-deployment-677cb58b94-5r2tx,378m,122Mi
23:18:54,drupal-mysql-d86854f86-dj5nv,295m,558Mi
23:18:59,drupal-deployment-677cb58b94-2rhfm,350m,168Mi
23:18:59,drupal-deployment-677cb58b94-5r2tx,376m,130Mi
23:18:59,drupal-mysql-d86854f86-dj5nv,283m,558Mi
23:19:04,drupal-deployment-677cb58b94-2rhfm,350m,168Mi
23:19:04,drupal-deployment-677cb58b94-5r2tx,376m,130Mi
23:19:04,drupal-mysql-d86854f86-dj5nv,283m,558Mi
23:19:09,drupal-deployment-677cb58b94-2rhfm,350m,168Mi
23:19:09,drupal-deployment-677cb58b94-5r2tx,376m,130Mi
23:19:09,drupal-mysql-d86854f86-dj5nv,283m,558Mi
23:19:14,drupal-deployment-677cb58b94-2rhfm,316m,168Mi
23:19:14,drupal-deployment-677cb58b94-5r2tx,361m,133Mi
23:19:14,drupal-mysql-d86854f86-dj5nv,272m,558Mi
23:19:19,drupal-deployment-677cb58b94-2rhfm,316m,168Mi
23:19:19,drupal-deployment-677cb58b94-5r2tx,361m,133Mi
23:19:19,drupal-mysql-d86854f86-dj5nv,272m,558Mi
23:19:24,drupal-deployment-677cb58b94-2rhfm,316m,168Mi
23:19:24,drupal-deployment-677cb58b94-5r2tx,361m,133Mi
23:19:24,drupal-mysql-d86854f86-dj5nv,272m,558Mi
23:19:29,drupal-deployment-677cb58b94-2rhfm,338m,167Mi
23:19:29,drupal-deployment-677cb58b94-5r2tx,361m,133Mi
23:19:29,drupal-mysql-d86854f86-dj5nv,280m,558Mi
23:19:35,drupal-deployment-677cb58b94-2rhfm,338m,167Mi
23:19:35,drupal-deployment-677cb58b94-5r2tx,361m,133Mi
23:19:35,drupal-mysql-d86854f86-dj5nv,280m,558Mi
23:19:40,drupal-deployment-677cb58b94-2rhfm,338m,167Mi
23:19:40,drupal-deployment-677cb58b94-5r2tx,361m,133Mi
23:19:40,drupal-mysql-d86854f86-dj5nv,280m,558Mi
23:19:45,drupal-deployment-677cb58b94-2rhfm,345m,155Mi
23:19:45,drupal-deployment-677cb58b94-5r2tx,372m,124Mi
23:19:45,drupal-mysql-d86854f86-dj5nv,291m,559Mi
23:19:50,drupal-deployment-677cb58b94-2rhfm,345m,155Mi
23:19:50,drupal-deployment-677cb58b94-5r2tx,372m,124Mi
23:19:50,drupal-mysql-d86854f86-dj5nv,291m,559Mi
23:19:55,drupal-deployment-677cb58b94-2rhfm,345m,155Mi
23:19:55,drupal-deployment-677cb58b94-5r2tx,372m,124Mi
23:19:55,drupal-mysql-d86854f86-dj5nv,291m,559Mi
23:20:00,drupal-deployment-677cb58b94-2rhfm,322m,164Mi
23:20:00,drupal-deployment-677cb58b94-5r2tx,357m,136Mi
23:20:00,drupal-mysql-d86854f86-dj5nv,271m,558Mi
23:20:05,drupal-deployment-677cb58b94-2rhfm,322m,164Mi
23:20:05,drupal-deployment-677cb58b94-5r2tx,357m,136Mi
23:20:05,drupal-mysql-d86854f86-dj5nv,271m,558Mi
23:20:10,drupal-deployment-677cb58b94-2rhfm,322m,164Mi
23:20:10,drupal-deployment-677cb58b94-5r2tx,357m,136Mi
23:20:10,drupal-mysql-d86854f86-dj5nv,271m,558Mi
23:20:15,drupal-deployment-677cb58b94-2rhfm,277m,153Mi
23:20:15,drupal-deployment-677cb58b94-5r2tx,328m,122Mi
23:20:15,drupal-mysql-d86854f86-dj5nv,243m,558Mi
23:20:20,drupal-deployment-677cb58b94-2rhfm,277m,153Mi
23:20:20,drupal-deployment-677cb58b94-5r2tx,328m,122Mi
23:20:20,drupal-mysql-d86854f86-dj5nv,243m,558Mi
23:20:25,drupal-deployment-677cb58b94-2rhfm,277m,153Mi
23:20:25,drupal-deployment-677cb58b94-5r2tx,328m,122Mi
23:20:25,drupal-mysql-d86854f86-dj5nv,243m,558Mi
23:20:30,drupal-deployment-677cb58b94-2rhfm,326m,150Mi
23:20:30,drupal-deployment-677cb58b94-5r2tx,341m,130Mi
23:20:30,drupal-mysql-d86854f86-dj5nv,275m,559Mi
23:20:35,drupal-deployment-677cb58b94-2rhfm,326m,150Mi
23:20:35,drupal-deployment-677cb58b94-5r2tx,341m,130Mi
23:20:35,drupal-mysql-d86854f86-dj5nv,275m,559Mi
23:20:40,drupal-deployment-677cb58b94-2rhfm,326m,150Mi
23:20:40,drupal-deployment-677cb58b94-5r2tx,341m,130Mi
23:20:40,drupal-mysql-d86854f86-dj5nv,275m,559Mi
23:20:45,drupal-deployment-677cb58b94-2rhfm,286m,161Mi
23:20:45,drupal-deployment-677cb58b94-5r2tx,307m,136Mi
23:20:45,drupal-mysql-d86854f86-dj5nv,242m,559Mi
23:20:51,drupal-deployment-677cb58b94-2rhfm,286m,161Mi
23:20:51,drupal-deployment-677cb58b94-5r2tx,307m,136Mi
23:20:51,drupal-mysql-d86854f86-dj5nv,242m,559Mi
23:20:56,drupal-deployment-677cb58b94-2rhfm,286m,161Mi
23:20:56,drupal-deployment-677cb58b94-5r2tx,307m,136Mi
23:20:56,drupal-mysql-d86854f86-dj5nv,242m,559Mi
23:21:01,drupal-deployment-677cb58b94-2rhfm,304m,162Mi
23:21:01,drupal-deployment-677cb58b94-5r2tx,338m,133Mi
23:21:01,drupal-mysql-d86854f86-dj5nv,255m,559Mi
23:21:06,drupal-deployment-677cb58b94-2rhfm,304m,162Mi
23:21:06,drupal-deployment-677cb58b94-5r2tx,338m,133Mi
23:21:06,drupal-mysql-d86854f86-dj5nv,255m,559Mi
23:21:11,drupal-deployment-677cb58b94-2rhfm,304m,162Mi
23:21:11,drupal-deployment-677cb58b94-5r2tx,338m,133Mi
23:21:11,drupal-mysql-d86854f86-dj5nv,255m,559Mi
23:21:16,drupal-deployment-677cb58b94-2rhfm,306m,173Mi
23:21:16,drupal-deployment-677cb58b94-5r2tx,341m,135Mi
23:21:16,drupal-mysql-d86854f86-dj5nv,255m,559Mi
23:21:21,drupal-deployment-677cb58b94-2rhfm,306m,173Mi
23:21:21,drupal-deployment-677cb58b94-5r2tx,341m,135Mi
23:21:21,drupal-mysql-d86854f86-dj5nv,255m,559Mi
23:21:26,drupal-deployment-677cb58b94-2rhfm,306m,173Mi
23:21:26,drupal-deployment-677cb58b94-5r2tx,341m,135Mi
23:21:26,drupal-mysql-d86854f86-dj5nv,255m,559Mi
23:21:31,drupal-deployment-677cb58b94-2rhfm,306m,173Mi
23:21:31,drupal-deployment-677cb58b94-5r2tx,344m,131Mi
23:21:31,drupal-mysql-d86854f86-dj5nv,267m,559Mi
23:21:36,drupal-deployment-677cb58b94-2rhfm,306m,173Mi
23:21:36,drupal-deployment-677cb58b94-5r2tx,344m,131Mi
23:21:36,drupal-mysql-d86854f86-dj5nv,267m,559Mi
23:21:41,drupal-deployment-677cb58b94-2rhfm,306m,173Mi
23:21:41,drupal-deployment-677cb58b94-5r2tx,344m,131Mi
23:21:41,drupal-mysql-d86854f86-dj5nv,267m,559Mi
23:21:46,drupal-deployment-677cb58b94-2rhfm,288m,142Mi
23:21:46,drupal-deployment-677cb58b94-5r2tx,344m,131Mi
23:21:46,drupal-mysql-d86854f86-dj5nv,233m,559Mi
23:21:51,drupal-deployment-677cb58b94-2rhfm,288m,142Mi
23:21:51,drupal-deployment-677cb58b94-5r2tx,344m,131Mi
