Timestamp,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Context_Switches,IO_Read_S,IO_Write_S
08:05:09,80,17,0,163,3785,29630,128.00,212.00
08:05:16,80,19,1,144,3786,24657,0.00,212.00
08:05:23,78,20,0,139,3787,24631,0.00,564.00
08:05:30,81,18,0,142,3787,23871,0.00,272.00
08:05:37,79,21,0,145,3788,25248,4.00,376.00
08:05:45,78,19,1,153,3788,26920,0.00,424.00
08:05:52,77,21,1,145,3788,23134,0.00,316.00
08:05:59,79,20,0,132,3789,24129,0.00,280.00
08:06:06,62,14,0,133,3789,23685,0.00,264.00
08:06:13,19,11,2,139,3790,17668,0.00,436.00
08:06:20,45,15,1,157,3790,27135,0.00,404.00
08:06:27,70,15,0,169,3790,24044,0.00,376.00
08:06:34,66,16,0,155,3791,24753,0.00,784.00
08:06:41,67,19,1,168,3791,29416,20.00,164.00
08:06:48,67,17,1,172,3792,27174,0.00,412.00
08:06:55,58,15,1,163,3792,23553,40.00,372.00
08:07:02,65,17,0,161,3792,23907,8.00,392.00
08:07:09,64,15,1,172,3793,23630,0.00,224.00
08:07:16,69,17,0,171,3793,25164,0.00,408.00
08:07:23,58,15,0,173,3794,21881,0.00,564.00
08:07:30,61,14,0,184,3794,24393,105.05,395.96
08:07:37,64,14,1,174,3795,26352,0.00,280.00
08:07:45,76,18,0,187,3795,24351,0.00,265.35
08:07:52,60,17,0,176,3803,24750,0.00,364.00
08:07:59,77,18,0,166,3804,24650,0.00,428.00
08:08:06,67,16,1,149,3804,28686,0.00,440.00
08:08:13,61,17,1,156,3805,26698,0.00,308.00
08:08:20,60,16,1,163,3805,26299,0.00,288.00
08:08:27,82,16,0,176,3806,23499,4.00,528.00
08:08:34,74,17,0,163,3806,25153,0.00,664.00
08:08:41,71,22,1,149,3807,29483,0.00,0.00
08:08:48,71,18,1,154,3807,28534,0.00,440.00
08:08:55,67,17,1,150,3807,26623,0.00,144.00
08:09:02,46,14,0,146,3808,21493,0.00,392.00
08:09:09,63,16,1,143,3808,27734,0.00,276.00
08:09:16,80,18,0,146,3809,29369,80.00,320.00
08:09:23,65,16,1,136,3809,25937,0.00,308.00
08:09:31,80,18,0,149,3810,28175,0.00,348.00
08:09:38,67,15,1,155,3810,27028,4.00,620.00
08:09:45,59,16,0,145,3811,24200,0.00,428.00
08:09:52,61,19,1,146,3811,25458,0.00,344.00
08:09:59,75,18,0,152,3811,24535,0.00,352.00
08:10:06,59,16,0,141,3812,24105,0.00,244.00
08:10:13,73,22,0,148,3812,26803,0.00,340.00
08:10:20,70,16,0,174,3812,30678,0.00,312.00
08:10:27,79,19,1,162,3813,25043,0.00,524.00
08:10:34,71,18,1,161,3813,23170,0.00,586.14
08:10:41,77,20,0,160,3814,30647,0.00,132.00
08:10:49,76,19,1,156,3814,27439,0.00,416.00
08:10:56,69,17,1,159,3814,27562,0.00,120.00
08:11:03,9,9,3,211,3815,16842,20.00,188.00
08:11:10,10,4,1,244,3815,15107,0.00,424.00
08:11:17,6,4,2,254,3815,12345,0.00,488.00
08:11:24,6,4,2,255,3815,12497,0.00,420.00
08:11:31,9,5,1,246,3816,13302,0.00,440.00
08:11:38,7,4,4,258,3816,14072,20.00,120.00
08:11:45,5,3,1,248,3816,12339,0.00,288.00
08:11:52,9,8,2,251,3816,14464,0.00,488.00
08:11:59,6,5,1,246,3817,13963,0.00,308.00
08:12:06,8,6,3,249,3817,15871,0.00,244.00
08:12:13,8,8,3,257,3817,15757,24.00,376.00
08:12:20,7,5,0,251,3818,16165,0.00,220.00
08:12:27,5,3,1,245,3818,11806,0.00,404.00
08:12:34,7,5,3,247,3818,12424,0.00,256.00
08:12:41,9,5,3,250,3818,14907,0.00,212.00
08:12:48,6,4,3,253,3818,15900,20.00,264.00
08:12:55,7,5,3,251,3818,13500,0.00,216.00
08:13:02,9,11,3,241,3819,16027,0.00,512.00
08:13:09,7,4,2,255,3819,14038,0.00,268.00
08:13:16,10,5,2,258,3819,13474,0.00,264.00
08:13:23,6,4,3,252,3819,13313,0.00,496.00
08:13:30,7,4,2,251,3819,12914,0.00,208.00
08:13:37,7,5,1,242,3820,13369,24.00,396.00
