Timestamp,Pod_Name,CPU_m,Memory_Mi
09:03:23,wordpress-deployment-7c7bb76d6f-sdtc8,383m,227Mi
09:03:23,wordpress-mysql-8484774888-46s7v,151m,550Mi
09:03:28,wordpress-deployment-7c7bb76d6f-66hfm,8m,15Mi
09:03:28,wordpress-deployment-7c7bb76d6f-n4rz9,427m,223Mi
09:03:28,wordpress-deployment-7c7bb76d6f-q8q95,482m,196Mi
09:03:28,wordpress-deployment-7c7bb76d6f-sdtc8,383m,227Mi
09:03:28,wordpress-mysql-8484774888-46s7v,151m,550Mi
09:03:34,wordpress-deployment-7c7bb76d6f-66hfm,44m,57Mi
09:03:34,wordpress-deployment-7c7bb76d6f-n4rz9,427m,223Mi
09:03:34,wordpress-deployment-7c7bb76d6f-q8q95,380m,199Mi
09:03:34,wordpress-deployment-7c7bb76d6f-sdtc8,383m,227Mi
09:03:34,wordpress-mysql-8484774888-46s7v,151m,550Mi
09:03:39,wordpress-deployment-7c7bb76d6f-66hfm,44m,57Mi
09:03:39,wordpress-deployment-7c7bb76d6f-n4rz9,427m,223Mi
09:03:39,wordpress-deployment-7c7bb76d6f-q8q95,380m,199Mi
09:03:39,wordpress-deployment-7c7bb76d6f-sdtc8,383m,227Mi
09:03:39,wordpress-mysql-8484774888-46s7v,151m,550Mi
09:03:44,wordpress-deployment-7c7bb76d6f-66hfm,44m,57Mi
09:03:44,wordpress-deployment-7c7bb76d6f-n4rz9,427m,223Mi
09:03:44,wordpress-deployment-7c7bb76d6f-q8q95,380m,199Mi
09:03:44,wordpress-deployment-7c7bb76d6f-sdtc8,383m,227Mi
09:03:44,wordpress-mysql-8484774888-46s7v,151m,550Mi
09:03:49,wordpress-deployment-7c7bb76d6f-66hfm,438m,223Mi
09:03:49,wordpress-deployment-7c7bb76d6f-n4rz9,285m,162Mi
09:03:49,wordpress-deployment-7c7bb76d6f-q8q95,380m,199Mi
09:03:49,wordpress-deployment-7c7bb76d6f-sdtc8,300m,204Mi
09:03:49,wordpress-mysql-8484774888-46s7v,145m,550Mi
09:03:54,wordpress-deployment-7c7bb76d6f-66hfm,438m,223Mi
09:03:54,wordpress-deployment-7c7bb76d6f-n4rz9,285m,162Mi
09:03:54,wordpress-deployment-7c7bb76d6f-q8q95,380m,199Mi
09:03:54,wordpress-deployment-7c7bb76d6f-sdtc8,300m,204Mi
09:03:54,wordpress-mysql-8484774888-46s7v,145m,550Mi
09:03:59,wordpress-deployment-7c7bb76d6f-66hfm,438m,223Mi
09:03:59,wordpress-deployment-7c7bb76d6f-n4rz9,285m,162Mi
09:03:59,wordpress-deployment-7c7bb76d6f-q8q95,380m,199Mi
09:03:59,wordpress-deployment-7c7bb76d6f-sdtc8,300m,204Mi
09:03:59,wordpress-mysql-8484774888-46s7v,145m,550Mi
09:04:04,wordpress-deployment-7c7bb76d6f-66hfm,224m,203Mi
09:04:04,wordpress-deployment-7c7bb76d6f-n4rz9,178m,139Mi
09:04:04,wordpress-deployment-7c7bb76d6f-q8q95,323m,180Mi
09:04:04,wordpress-deployment-7c7bb76d6f-sdtc8,373m,204Mi
09:04:04,wordpress-mysql-8484774888-46s7v,132m,550Mi
09:04:09,wordpress-deployment-7c7bb76d6f-66hfm,224m,203Mi
09:04:09,wordpress-deployment-7c7bb76d6f-n4rz9,178m,139Mi
09:04:09,wordpress-deployment-7c7bb76d6f-q8q95,323m,180Mi
09:04:09,wordpress-deployment-7c7bb76d6f-sdtc8,373m,204Mi
09:04:09,wordpress-mysql-8484774888-46s7v,132m,550Mi
09:04:14,wordpress-deployment-7c7bb76d6f-66hfm,224m,203Mi
09:04:14,wordpress-deployment-7c7bb76d6f-n4rz9,178m,139Mi
09:04:14,wordpress-deployment-7c7bb76d6f-q8q95,323m,180Mi
09:04:14,wordpress-deployment-7c7bb76d6f-sdtc8,373m,204Mi
09:04:14,wordpress-mysql-8484774888-46s7v,132m,550Mi
09:04:19,wordpress-deployment-7c7bb76d6f-66hfm,316m,186Mi
09:04:19,wordpress-deployment-7c7bb76d6f-n4rz9,337m,149Mi
09:04:19,wordpress-deployment-7c7bb76d6f-q8q95,289m,173Mi
09:04:19,wordpress-deployment-7c7bb76d6f-sdtc8,238m,182Mi
09:04:19,wordpress-mysql-8484774888-46s7v,132m,550Mi
09:04:24,wordpress-deployment-7c7bb76d6f-66hfm,316m,186Mi
09:04:24,wordpress-deployment-7c7bb76d6f-n4rz9,337m,149Mi
09:04:24,wordpress-deployment-7c7bb76d6f-q8q95,289m,173Mi
09:04:24,wordpress-deployment-7c7bb76d6f-sdtc8,238m,182Mi
09:04:24,wordpress-mysql-8484774888-46s7v,132m,550Mi
09:04:29,wordpress-deployment-7c7bb76d6f-66hfm,316m,186Mi
